"event","experiment time","system time","system time text"
"START",0.000000000E0,1756531218.179,"2025-08-30 08:20:18.179 UTC+03:00"
"PAUSE",6.484756092E2,1756531866.655,"2025-08-30 08:31:06.655 UTC+03:00"
