"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.739528337E0,4.199574701E-3,-7.375980914E-2,-5.657972768E-2
1.758336982E0,1.061347127E-2,-9.620844387E-3,-2.267770469E-2
1.777145628E0,2.924431302E-2,7.498150319E-2,7.864658721E-3
1.795954326E0,6.100837141E-2,1.223221645E-1,2.466295846E-2
1.814762972E0,7.841751724E-2,1.189625040E-1,2.710634656E-2
1.833571618E0,6.894938648E-2,7.925742865E-2,1.000262424E-2
1.852380264E0,5.367820337E-2,2.244863659E-2,-1.901262067E-2
1.871188910E0,4.268295318E-2,-4.413371533E-2,-4.253023863E-2
1.889997607E0,3.474193811E-2,-9.727742523E-2,-5.474718660E-2
1.908806253E0,8.170082234E-3,-1.046075895E-1,-6.329904497E-2
1.927614899E0,-8.933641016E-3,-8.506047726E-2,-5.383091420E-2
1.946423545E0,-2.825168660E-3,-5.268557742E-2,-3.245126083E-2
1.965232243E0,-8.322793990E-3,1.572931744E-2,-2.512109280E-2
1.984040889E0,-1.382041909E-2,8.231166750E-2,-3.092414327E-2
2.002849535E0,-4.352286924E-3,9.300149232E-2,-2.939702384E-2
2.021658180E0,-1.198787708E-2,8.353336155E-2,-1.382041909E-2
2.040466878E0,-4.253023863E-2,1.122431830E-1,-5.879404955E-3
2.059275524E0,-4.405735806E-2,1.617218107E-1,-2.214321401E-3
2.078084170E0,5.344913807E-4,1.782146841E-1,1.091889478E-2
2.096892816E0,3.046600707E-2,1.571404636E-1,2.466295846E-2
2.115701514E0,3.871244565E-2,1.308740228E-1,3.199312463E-2
2.134510160E0,5.489989743E-2,1.149920002E-1,3.321481869E-2
2.153318805E0,7.597412914E-2,1.110214889E-1,2.954973653E-2
2.172127451E0,7.719582319E-2,1.146865711E-1,2.649549954E-2
2.190936097E0,6.467345357E-2,1.168245375E-1,2.557922900E-2
2.209744743E0,3.810159862E-2,1.284306347E-1,2.435753495E-2
2.228553441E0,2.252499200E-2,1.253764033E-1,2.008160390E-2
2.247362087E0,5.795413256E-2,8.964183182E-2,1.916533336E-2
