"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.497515732E0,-1.036092162E0,-9.602396965E0,-1.037288666E0
1.516324430E0,-1.142572761E0,-9.519845009E0,-1.062413216E0
1.535133076E0,-1.280160069E0,-9.546165466E0,-1.124626637E0
1.553941722E0,-1.246660590E0,-9.629914284E0,-1.094716311E0
1.572750368E0,-1.060020447E0,-9.578469276E0,-1.099501967E0
1.591559066E0,-8.518448472E-1,-9.538987160E0,-1.057627559E0
1.610367712E0,-7.668996453E-1,-9.596415520E0,-9.774680734E-1
1.629176357E0,-8.171489239E-1,-9.639486313E0,-9.583254457E-1
1.647985055E0,-9.104689956E-1,-9.716055870E0,-1.008574724E0
1.666793701E0,-9.786644578E-1,-9.762716293E0,-1.033699393E0
1.685602347E0,-1.039681435E0,-9.745966911E0,-1.153340459E0
1.704410993E0,-1.076770186E0,-9.631111145E0,-1.270588875E0
1.723219639E0,-1.180858016E0,-9.588040352E0,-1.251446247E0
1.742028337E0,-1.261017561E0,-9.578469276E0,-1.155733347E0
1.760836982E0,-1.204786181E0,-9.537791252E0,-1.080359459E0
1.779645628E0,-1.008574724E0,-9.535398483E0,-1.039681435E0
1.798454326E0,-7.920243144E-1,-9.585647583E0,-1.018146038E0
1.817262972E0,-6.257231236E-1,-9.665806770E0,-1.088734269E0
1.836071618E0,-5.467599630E-1,-9.754341125E0,-1.103091240E0
1.854880264E0,-5.647061467E-1,-9.768698692E0,-1.091127157E0
1.873688910E0,-6.675975323E-1,-9.755537987E0,-1.094716311E0
1.892497607E0,-7.704889178E-1,-9.723235130E0,-1.134197950E0
1.911306253E0,-9.355936646E-1,-9.690931320E0,-1.074377418E0
1.930114899E0,-1.027717352E0,-9.665806770E0,-9.738788009E-1
1.948923545E0,-9.499505758E-1,-9.678967476E0,-9.678967595E-1
1.967732243E0,-8.638089895E-1,-9.739984512E0,-9.547362328E-1
1.986540889E0,-8.554341197E-1,-9.736394882E0,-9.020941257E-1
2.005349535E0,-8.602197170E-1,-9.689735413E0,-9.631111026E-1
2.024158180E0,-7.836494446E-1,-9.620343208E0,-1.075573802E0
