"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.525708597E0,-6.329016089E-1,-9.726823807E0,-5.204389095E-1
4.544517243E0,-7.274180651E-1,-9.694520950E0,-4.139583111E-1
4.563325889E0,-7.692924738E-1,-9.713663101E0,-3.278166950E-1
4.582134535E0,-7.142575383E-1,-9.695717812E0,-3.589234054E-1
4.600943180E0,-6.257231236E-1,-9.710074425E0,-4.594219327E-1
4.619751826E0,-5.599204898E-1,-9.735198975E0,-5.300102234E-1
4.638560472E0,-5.826523304E-1,-9.711270332E0,-5.324030519E-1
4.657369118E0,-6.041877270E-1,-9.706484795E0,-5.204389095E-1
4.676177764E0,-6.388836503E-1,-9.701699257E0,-4.390829504E-1
4.694986410E0,-6.245267391E-1,-9.712467194E0,-3.924229145E-1
4.713795055E0,-6.029912829E-1,-9.696913719E0,-3.996013701E-1
4.732603701E0,-5.479564071E-1,-9.722038269E0,-4.366901219E-1
4.751412347E0,-5.670989752E-1,-9.754341125E0,-4.630111754E-1
4.770220993E0,-6.041877270E-1,-9.743574142E0,-4.953143001E-1
4.789029639E0,-6.412764788E-1,-9.756733894E0,-5.012963414E-1
4.807838285E0,-6.831508875E-1,-9.762716293E0,-4.450650215E-1
4.826646930E0,-6.508477330E-1,-9.755537987E0,-4.522434771E-1
4.845455524E0,-6.699903607E-1,-9.694520950E0,-4.677968323E-1
4.864264170E0,-6.281159520E-1,-9.690931320E0,-4.271188378E-1
4.883072816E0,-6.089733839E-1,-9.729216576E0,-3.457628787E-1
4.901881462E0,-5.982056856E-1,-9.716055870E0,-3.062812984E-1
4.920690107E0,-5.347958803E-1,-9.706484795E0,-3.481557071E-1
4.939498753E0,-5.312066078E-1,-9.723235130E0,-4.199403822E-1
4.958307399E0,-5.324030519E-1,-9.734002113E0,-4.103690982E-1
4.977116045E0,-6.209374666E-1,-9.701699257E0,-3.684946895E-1
4.995924691E0,-6.604190469E-1,-9.687342644E0,-3.146561682E-1
5.014733337E0,-6.568298340E-1,-9.713663101E0,-3.397808075E-1
5.033541982E0,-6.388836503E-1,-9.754341125E0,-3.912265003E-1
5.052350628E0,-6.568298340E-1,-9.749555588E0,-3.936193287E-1
5.071159222E0,-6.364908218E-1,-9.702896118E0,-3.720839322E-1
5.089967868E0,-6.197410822E-1,-9.676574707E0,-3.864408433E-1
5.108776514E0,-5.527420044E-1,-9.718449593E0,-3.577269912E-1
5.127585160E0,-5.300102234E-1,-9.716055870E0,-3.601198196E-1
5.146393805E0,-4.905286431E-1,-9.712467194E0,-4.067798555E-1
5.165202451E0,-4.929214716E-1,-9.739984512E0,-4.342973232E-1
5.184011097E0,-5.611169338E-1,-9.765109062E0,-4.199403822E-1
5.202819743E0,-6.544370055E-1,-9.720842361E0,-4.067798555E-1
5.221628389E0,-7.010970116E-1,-9.737591743E0,-3.780659735E-1
5.240437035E0,-6.329016089E-1,-9.774680138E0,-3.900300860E-1
5.259245628E0,-5.754738450E-1,-9.771091461E0,-4.366901219E-1
5.278054274E0,-5.754738450E-1,-9.743574142E0,-4.558327198E-1
5.296862920E0,-6.305087805E-1,-9.682557106E0,-3.972085714E-1
5.315671566E0,-7.250252366E-1,-9.651450157E0,-3.337987661E-1
5.334480212E0,-7.166503668E-1,-9.647860527E0,-2.823530734E-1
5.353288857E0,-6.317051649E-1,-9.677771568E0,-3.002992272E-1
5.372097503E0,-5.623133183E-1,-9.686145782E0,-3.828516304E-1
5.390906149E0,-5.024927258E-1,-9.698110580E0,-4.725824594E-1
5.409714795E0,-5.180460811E-1,-9.725627899E0,-5.431707501E-1
5.428523441E0,-5.826523304E-1,-9.719645500E0,-5.252245665E-1
5.447332087E0,-6.329016089E-1,-9.716055870E0,-4.761717021E-1
5.466140680E0,-6.293123364E-1,-9.737591743E0,-4.510470629E-1
5.484949326E0,-5.778666735E-1,-9.718449593E0,-4.570291340E-1
5.503757972E0,-5.431707501E-1,-9.714859962E0,-4.785645306E-1
5.522566618E0,-5.192425251E-1,-9.719645500E0,-5.312066078E-1
5.541375264E0,-5.491527915E-1,-9.722038269E0,-5.826523304E-1
5.560183910E0,-6.317051649E-1,-9.696913719E0,-5.599204898E-1
5.578992555E0,-6.149554253E-1,-9.686145782E0,-5.168496966E-1
5.597801149E0,-5.982056856E-1,-9.725627899E0,-4.594219327E-1
5.616609795E0,-5.814558864E-1,-9.737591743E0,-4.749752879E-1
5.635418441E0,-5.312066078E-1,-9.692128181E0,-5.383850932E-1
5.654227087E0,-5.252245665E-1,-9.695717812E0,-5.706881881E-1
5.673035732E0,-5.395814776E-1,-9.725627899E0,-5.587241054E-1
5.691844378E0,-5.156532526E-1,-9.744770050E0,-5.826523304E-1
5.710653024E0,-5.228317380E-1,-9.741181374E0,-5.491527915E-1
5.729461670E0,-5.850451589E-1,-9.747162819E0,-4.761717021E-1
5.748270264E0,-6.197410822E-1,-9.682557106E0,-5.120640397E-1
5.767078910E0,-6.125625968E-1,-9.676574707E0,-5.575276613E-1
5.785887555E0,-5.970092416E-1,-9.698110580E0,-5.467599630E-1
5.804696201E0,-5.850451589E-1,-9.695717812E0,-5.144568682E-1
5.823504847E0,-5.694918036E-1,-9.684949875E0,-4.929214716E-1
5.842313493E0,-5.778666735E-1,-9.736394882E0,-4.582255483E-1
5.861122087E0,-6.185446382E-1,-9.731609344E0,-4.677968323E-1
5.879930732E0,-6.484549642E-1,-9.700503349E0,-5.060819983E-1
5.898739378E0,-6.173482537E-1,-9.712467194E0,-5.264210105E-1
5.917548024E0,-5.623133183E-1,-9.716055870E0,-6.017948985E-1
5.936356670E0,-5.443671346E-1,-9.748359680E0,-6.233302951E-1
5.955165316E0,-5.862415433E-1,-9.725627899E0,-6.269195080E-1
5.973973962E0,-5.922235847E-1,-9.719645500E0,-6.269195080E-1
5.992782555E0,-6.197410822E-1,-9.693324089E0,-6.077769399E-1
6.011591201E0,-6.089733839E-1,-9.687342644E0,-5.587241054E-1
6.030399847E0,-5.850451589E-1,-9.689735413E0,-5.335994363E-1
6.049208493E0,-5.419743061E-1,-9.686145782E0,-5.491527915E-1
6.068017139E0,-5.419743061E-1,-9.681360245E0,-5.635097623E-1
6.086825785E0,-5.144568682E-1,-9.714859962E0,-5.994020700E-1
6.105634378E0,-5.252245665E-1,-9.713663101E0,-6.424728632E-1
6.124443024E0,-5.359922647E-1,-9.725627899E0,-6.699903607E-1
6.143251670E0,-5.347958803E-1,-9.688538551E0,-6.759724021E-1
6.162060316E0,-5.539384484E-1,-9.699306488E0,-6.448656917E-1
6.180868962E0,-5.575276613E-1,-9.723235130E0,-6.077769399E-1
6.199677555E0,-5.611169338E-1,-9.731609344E0,-6.041877270E-1
6.218486201E0,-5.670989752E-1,-9.710074425E0,-6.544370055E-1
6.237294847E0,-5.515456200E-1,-9.689735413E0,-7.417750359E-1
6.256103493E0,-5.706881881E-1,-9.700503349E0,-7.776673436E-1
6.274912139E0,-5.850451589E-1,-9.732806206E0,-7.334001660E-1
6.293720732E0,-5.934200287E-1,-9.695717812E0,-6.735795736E-1
6.312529378E0,-5.359922647E-1,-9.677771568E0,-6.448656917E-1
6.331338024E0,-5.587241054E-1,-9.713663101E0,-6.915257573E-1
6.350146670E0,-5.623133183E-1,-9.716055870E0,-8.159525394E-1
6.368955316E0,-5.335994363E-1,-9.755537987E0,-9.367900491E-1
6.387763962E0,-5.766702294E-1,-9.729216576E0,-9.188438654E-1
6.406572555E0,-5.563312769E-1,-9.711270332E0,-7.908278704E-1
6.425381201E0,-5.264210105E-1,-9.671789169E0,-6.640082598E-1
6.444189847E0,-4.725824594E-1,-9.647860527E0,-5.443671346E-1
6.462998493E0,-4.953143001E-1,-9.682557106E0,-3.852444589E-1
6.481807087E0,-4.917250574E-1,-9.672985077E0,-3.302095234E-1
6.500615732E0,-5.264210105E-1,-9.690931320E0,-5.084748268E-1
6.519424378E0,-5.790630579E-1,-9.647860527E0,-7.202396393E-1
6.538233024E0,-5.970092416E-1,-9.638289452E0,-7.609176040E-1
6.557041670E0,-6.376872063E-1,-9.690931320E0,-6.675975323E-1
6.575850264E0,-6.711867452E-1,-9.716055870E0,-6.652047038E-1
6.594658910E0,-6.161518097E-1,-9.706484795E0,-6.544370055E-1
6.613467555E0,-5.395814776E-1,-9.705288887E0,-5.850451589E-1
6.632276201E0,-5.264210105E-1,-9.716055870E0,-5.850451589E-1
6.651084795E0,-5.060819983E-1,-9.723235130E0,-6.939185858E-1
6.669893441E0,-5.264210105E-1,-9.700503349E0,-7.561319470E-1
6.688702087E0,-5.826523304E-1,-9.699306488E0,-7.250252366E-1
6.707510732E0,-6.340979934E-1,-9.678967476E0,-6.544370055E-1
6.726319326E0,-6.173482537E-1,-9.706484795E0,-6.604190469E-1
6.745127972E0,-5.132604837E-1,-9.688538551E0,-6.137589812E-1
6.763936618E0,-5.168496966E-1,-9.684949875E0,-5.407779217E-1
6.782745264E0,-6.173482537E-1,-9.712467194E0,-6.460621357E-1
6.801553910E0,-6.795616150E-1,-9.722038269E0,-8.099704385E-1
6.820362503E0,-5.718846321E-1,-9.678967476E0,-8.901300430E-1
6.839171149E0,-5.240281820E-1,-9.678967476E0,-7.728816867E-1
6.857979795E0,-5.324030519E-1,-9.708877563E0,-6.113662124E-1
6.876788441E0,-6.424728632E-1,-9.744770050E0,-5.874379873E-1
6.895597035E0,-7.022934556E-1,-9.711270332E0,-6.915257573E-1
6.914405680E0,-7.154539824E-1,-9.700503349E0,-8.159525394E-1
6.933214326E0,-6.687939167E-1,-9.712467194E0,-9.224331379E-1
6.952022972E0,-5.790630579E-1,-9.729216576E0,-9.535398483E-1
6.970831566E0,-5.754738450E-1,-9.718449593E0,-8.386843204E-1
6.989640212E0,-6.735795736E-1,-9.723235130E0,-7.286145091E-1
7.008448857E0,-6.568298340E-1,-9.751948357E0,-8.853443861E-1
7.027257503E0,-4.642075896E-1,-9.678967476E0,-9.379864931E-1
7.046066097E0,-4.079762697E-1,-9.649057388E0,-7.094719410E-1
7.064874743E0,-4.570291340E-1,-9.699306488E0,-5.778666735E-1
7.083683389E0,-5.407779217E-1,-9.664610863E0,-6.855437160E-1
7.102491982E0,-5.754738450E-1,-9.610772133E0,-7.956135273E-1
