"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.741407605E0,-5.838487148E-1,-4.341776848E0,8.556734085E0
1.760217032E0,-3.182454109E-1,-4.405186653E0,8.751749039E0
1.779026511E0,-5.264209956E-2,-4.771288395E0,8.700303078E0
1.797835938E0,2.297109663E-1,-4.859822750E0,8.518448830E0
1.816645417E0,3.278166950E-1,-4.882554531E0,8.526823044E0
1.835454844E0,-3.948157281E-2,-4.795216560E0,8.629714966E0
1.854264324E0,-3.804588020E-1,-4.801198483E0,8.700303078E0
1.873073751E0,-5.288137794E-1,-4.567898273E0,8.706285477E0
1.891883230E0,-9.702895880E-1,-3.704089403E0,8.794819832E0
1.910692657E0,-1.770688742E-1,-3.004188776E0,8.957531929E0
1.929502084E0,-2.285145670E-1,-3.396611691E0,9.273384094E0
1.948311563E0,-4.797609448E-1,-3.475574970E0,9.122636795E0
1.967120990E0,-7.142575383E-1,-3.281756163E0,8.772088051E0
1.985930469E0,-1.208375454E0,-3.822534084E0,8.928817749E0
2.004739897E0,-1.622333765E0,-4.017549038E0,8.989834785E0
2.023549376E0,-1.645065546E0,-4.113262177E0,8.981459618E0
2.042358803E0,-1.670190215E0,-4.153940201E0,9.001798630E0
2.061168230E0,-1.576870084E0,-3.822534084E0,8.608179092E0
2.079977709E0,-1.627119422E0,-3.973282099E0,8.809176445E0
2.098787136E0,-1.642672777E0,-3.669393539E0,9.203991890E0
2.117596615E0,-1.624726534E0,-3.531806231E0,8.868997574E0
2.136406042E0,-1.515853167E0,-3.732803345E0,8.955139160E0
2.155215522E0,-1.422533035E0,-4.043870449E0,8.762516975E0
2.174024949E0,-1.056431174E0,-4.001996040E0,9.209974289E0
2.192834376E0,-7.214360237E-1,-3.568894863E0,9.019744873E0
2.211643855E0,-6.125625968E-1,-3.716053486E0,9.006584167E0
2.230453282E0,-6.125625968E-1,-3.982853174E0,9.154939651E0
2.249262761E0,-1.253839016E0,-4.584648132E0,8.315058708E0
2.268072188E0,-4.498506486E-1,-4.621737003E0,1.028554821E1
2.286881615E0,-1.196411345E-2,-3.761517286E0,9.433703423E0
2.305691094E0,-1.052841991E-1,-3.132204771E0,9.095118523E0
2.324500522E0,4.893322289E-1,-2.597409010E0,8.860622406E0
2.343310001E0,1.036092162E0,-2.909672260E0,9.190832138E0
2.362119428E0,1.311266780E0,-3.284149170E0,9.330811501E0
2.380928855E0,7.561319470E-1,-3.425325632E0,9.150154114E0
2.399738334E0,3.206382394E-1,-3.863212109E0,9.038887978E0
2.418547761E0,1.328016520E-1,-3.686143398E0,8.797212601E0
2.437357188E0,2.739782035E-1,-3.171686411E0,8.836693764E0
2.456166667E0,1.507478207E-1,-3.830909014E0,9.303294182E0
2.474976094E0,-3.708875179E-2,-4.785645485E0,9.389435768E0
