"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.691883959E0,-3.757474124E-1,-7.795174718E-1,-1.072036922E-1
1.710693438E0,-4.072060585E-1,-8.729770780E-1,-2.150182426E-1
1.729502865E0,-3.824667335E-1,-8.488486409E-1,-2.214321345E-1
1.748312344E0,-3.409291208E-1,-8.253310323E-1,-1.371352077E-1
1.767121772E0,-3.033620119E-1,-7.153785229E-1,-5.344913527E-2
1.785931251E0,-1.686701924E-1,-3.876589537E-1,-2.748812549E-3
1.804740678E0,-3.436015919E-3,1.427855436E-2,1.221694518E-2
1.823550157E0,1.343100369E-1,2.366269529E-1,-4.489727318E-2
1.842359584E0,1.731752008E-1,3.719296157E-1,-1.001789495E-1
1.861169011E0,1.948602796E-1,4.632512927E-1,-1.258345395E-1
1.879978490E0,2.086043358E-1,5.041780472E-1,-1.249182671E-1
1.898787917E0,2.556395829E-1,5.988593698E-1,-4.337015375E-2
1.917597397E0,3.188622594E-1,6.962895393E-1,-3.817795217E-2
1.936406824E0,3.561239541E-1,7.023980021E-1,-1.230857223E-1
1.955216303E0,3.594835997E-1,5.973322392E-1,-1.829487532E-1
1.974025730E0,3.497100472E-1,5.707604289E-1,-2.611372173E-1
1.992835209E0,3.607053161E-1,5.203655362E-1,-2.678565085E-1
2.011644636E0,4.159869850E-1,5.637356639E-1,-1.789782494E-1
2.030454063E0,4.440859556E-1,5.716766715E-1,-1.136175916E-1
2.049263542E0,4.636330605E-1,5.063160062E-1,-6.658235192E-2
2.068072969E0,4.352286756E-1,4.238516390E-1,-5.314370990E-2
2.086882449E0,3.790307343E-1,3.462740481E-1,-8.887827396E-2
2.105691876E0,3.469612300E-1,2.347944081E-1,-9.009996802E-2
2.124501355E0,3.133646548E-1,7.597412914E-2,-1.056765765E-1
2.143310782E0,1.979145110E-1,-1.075854748E-1,-1.136175916E-1
2.162120209E0,1.352263093E-1,-3.363477588E-1,-1.169772521E-1
2.180929688E0,7.872293890E-2,-3.464267552E-1,-1.447708011E-1
2.199739115E0,1.468324065E-1,-4.453839958E-1,-2.351761907E-1
2.218548542E0,2.449497581E-1,-5.192965269E-1,-3.793361485E-1
2.237358022E0,4.019374847E-1,-5.147151947E-1,-5.076140761E-1
2.256167449E0,4.074351192E-1,-2.676274478E-1,-4.908157587E-1
2.274976928E0,2.431172132E-1,7.200361788E-2,-5.509842038E-1
2.293786355E0,2.577775419E-1,1.596602052E-1,-9.144383669E-1
2.312595782E0,2.562504113E-1,4.366794229E-1,-1.011028528E0
2.331405261E0,3.133646548E-1,5.002075434E-1,-1.059285522E0
2.350214688E0,2.699944973E-1,3.801760674E-1,-1.305456996E0
2.369024167E0,2.422009408E-1,6.711684167E-2,-1.772449732E0
2.387833594E0,1.395022422E-1,1.183516532E-2,-2.116356611E0
2.406643022E0,9.552124143E-2,1.602710485E-1,-2.329847813E0
2.425452501E0,7.108735293E-2,3.432198167E-1,-2.500579596E0
2.444261928E0,7.536327839E-2,5.399126410E-1,-2.595260859E0
2.463071355E0,1.010188684E-1,5.872532725E-1,-2.597398996E0
2.481880834E0,1.963873953E-1,5.002075434E-1,-2.632827997E0
2.500690261E0,1.945548505E-1,7.970793247E-1,-2.476145744E0
2.519499688E0,1.422510594E-1,1.179545999E0,-2.065045595E0
2.538309167E0,1.132358089E-1,1.200925708E0,-1.562623620E0
2.557118594E0,1.162900478E-1,6.657471657E-1,-1.029964805E0
2.575928022E0,1.135412306E-1,8.605311066E-2,-3.237490356E-1
2.594737501E0,3.413109109E-2,-1.851630807E-1,3.164188862E-1
2.613546928E0,-4.191939160E-2,-1.072800532E-1,5.958815217E-1
2.632356355E0,-4.314108938E-2,3.694862425E-1,6.542174220E-1
2.651165834E0,-1.143047959E-1,6.801020503E-1,3.665083647E-1
2.669975261E0,-1.393495351E-1,7.601230741E-1,1.288887709E-1
2.688784688E0,-5.902311578E-2,6.458946466E-1,1.123958975E-1
2.707594167E0,-1.320957206E-2,4.327089190E-1,2.034121305E-1
2.726403594E0,6.642963737E-3,2.409028858E-1,2.684673667E-1
2.745213022E0,5.306735635E-2,1.633252800E-1,2.244863659E-1
2.764022501E0,8.758022636E-2,2.418191582E-1,7.666133344E-2
2.782831928E0,4.543176666E-2,2.286859453E-1,-1.435491070E-2
2.801641355E0,2.374668792E-2,5.367820337E-2,-3.268032894E-2
2.820450782E0,5.367820337E-2,-1.081963181E-1,-3.909422457E-2
2.839260261E0,6.009209901E-2,-1.390441060E-1,-3.695625812E-2
2.858069688E0,5.887040496E-2,-1.091125906E-1,-3.176405653E-2
2.876879115E0,7.322531193E-2,-7.215633243E-2,-4.459185153E-2
2.895688594E0,8.116632700E-2,-6.788039953E-2,-6.505523622E-2
2.914498022E0,8.269345015E-2,-7.062921673E-2,-7.971556485E-2
2.933307449E0,7.078192383E-2,-5.260922015E-2,-8.460234851E-2
2.952116876E0,6.711684167E-2,3.779617324E-2,-8.185353130E-2
2.970926355E0,6.039752439E-2,8.025006205E-2,-7.055285573E-2
2.989735782E0,5.978667364E-2,-8.322793990E-3,-4.795150831E-2
3.008545209E0,7.780666649E-2,-1.130831018E-1,-3.206948191E-2
3.027354636E0,1.043785289E-1,-1.384332627E-1,-4.306473210E-2
3.046164115E0,1.297286898E-1,-1.225512326E-1,-2.962609194E-2
3.064973542E0,1.792836636E-1,-1.158319116E-1,2.076880634E-2
3.083782969E0,2.577775419E-1,-4.191939160E-2,4.520269856E-2
3.102592449E0,2.825168669E-1,7.414158434E-2,2.443389036E-3
3.121401876E0,2.831276953E-1,1.074327603E-1,-7.757759839E-2
3.140211303E0,3.527642787E-1,1.175117418E-1,-9.987352788E-2
3.159020730E0,4.587462842E-1,8.819106966E-2,-6.077930331E-2
3.177830157E0,5.796940327E-1,-2.221193314E-1,4.764608666E-2
3.196639636E0,6.471926570E-1,-4.719558656E-1,3.512371704E-2
3.215449063E0,7.018635273E-1,-2.410555929E-1,-4.550812021E-2
3.234258490E0,7.916580439E-1,-1.962346770E-2,-1.298050433E-1
3.253067917E0,8.490777016E-1,1.779856235E-1,-1.575985998E-1
3.271877397E0,8.799254894E-1,2.806079686E-1,-2.144073844E-1
3.290686824E0,8.383878469E-1,4.540885687E-1,-2.874036431E-1
3.309496251E0,7.534800768E-1,4.574482441E-1,-3.387148082E-1
3.328305678E0,6.835380793E-1,3.930038512E-1,-2.941229641E-1
3.347115157E0,5.543438792E-1,1.862320602E-1,-2.987042964E-1
3.365924584E0,4.376720488E-1,2.710634656E-2,-3.341334462E-1
3.384734011E0,3.756710589E-1,1.037676781E-1,-4.306473136E-1
3.403543438E0,3.295520842E-1,9.857547283E-2,-4.547757804E-1
3.422352917E0,2.486148328E-1,-1.766112149E-1,-3.524588645E-1
3.441162344E0,1.437781751E-1,-4.426352084E-1,-1.789782494E-1
3.459971772E0,-2.206685767E-2,-2.648786306E-1,-2.718270384E-2
3.478781199E0,-2.661003470E-1,1.700446010E-1,2.535016090E-2
3.497590626E0,-5.611395836E-1,3.658211529E-1,-3.787253052E-2
3.516400105E0,-7.309551239E-1,4.067479074E-1,-1.224748790E-1
3.535209532E0,-7.120188475E-1,4.647783935E-1,-2.037175596E-1
3.554018959E0,-3.476484418E-1,7.839460969E-1,-2.504473627E-1
3.572828386E0,1.187334359E-1,1.195428133E0,-1.353026628E-1
3.591637813E0,2.987042964E-1,1.062492490E0,1.065928489E-1
3.610447292E0,2.278460264E-1,5.365529656E-1,2.470877171E-1
3.629256719E0,1.330883503E-1,3.190913498E-1,2.577775419E-1
3.648066147E0,8.299887180E-2,3.539096415E-1,3.622324169E-1
3.666875574E0,4.573718831E-2,2.751103342E-1,4.929537475E-1
3.685685001E0,-4.100312293E-2,2.160872146E-2,4.593571424E-1
3.704494480E0,-1.509556323E-1,-9.353598952E-2,3.072561622E-1
3.723303907E0,-2.422772944E-1,9.246700257E-2,1.368297935E-1
3.742113334E0,-3.317664266E-1,3.389438689E-1,3.359659761E-2
3.760922761E0,-3.867426813E-1,3.655157387E-1,-4.245388508E-2
3.779732188E0,-3.589491248E-1,2.250208557E-1,-9.315420687E-2
3.798541667E0,-2.832040489E-1,8.116632700E-2,-1.041494608E-1
3.817351094E0,-1.720298529E-1,6.375718117E-2,-1.334701329E-1
3.836160522E0,-5.902311578E-2,1.092653051E-1,-1.853921413E-1
3.854969949E0,2.649549954E-2,2.488439083E-1,-2.223484069E-1
3.873779376E0,1.000262424E-2,3.224509954E-1,-2.418955117E-1
3.892588803E0,-2.725905925E-2,2.415137291E-1,-2.779355049E-1
3.911398282E0,-6.360447407E-2,1.260636002E-1,-3.399364948E-1
3.930207709E0,-6.696412712E-2,-4.436278343E-2,-3.808632791E-1
3.949017136E0,-1.143047959E-1,-1.066692024E-1,-2.956500649E-1
3.967826563E0,-1.356844455E-1,1.144575030E-1,-1.127013192E-1
3.986635990E0,-1.469851285E-1,3.548259139E-1,8.429691941E-2
4.005445417E0,-4.325562119E-1,1.278961450E-1,2.134911120E-1
4.024254897E0,-6.885012388E-1,-1.271325797E-1,2.626643181E-1
4.043064324E0,-8.625926971E-1,-7.795938104E-2,4.150707126E-1
4.061873751E0,-8.830560446E-1,1.709608734E-1,5.192201734E-1
4.080683178E0,-8.833615184E-1,3.862845302E-1,5.280774832E-1
4.099492605E0,-9.814024568E-1,2.558686435E-1,4.107947946E-1
4.118302032E0,-9.859838486E-1,2.557922900E-2,2.702999115E-1
4.137111459E0,-9.313129783E-1,-4.772244394E-2,2.351761907E-1
4.155920938E0,-9.691855311E-1,2.374668792E-2,2.330382317E-1
4.174730365E0,-9.090170860E-1,1.175117418E-1,2.147128135E-1
4.193539792E0,-9.013814926E-1,-7.795938104E-2,1.466033459E-1
4.212349219E0,-8.512920141E-1,-1.466796994E-1,7.941014320E-2
4.231158647E0,-8.363262415E-1,-3.550549597E-2,4.428642616E-2
4.249968074E0,-8.332720399E-1,7.811209559E-2,1.832541823E-2
4.268777501E0,-7.804337144E-1,9.765920788E-2,1.160609815E-2
4.287586980E0,-7.092700005E-1,3.565821052E-2,2.657185495E-2
4.306396407E0,-6.484907269E-1,-1.748550311E-2,2.596100792E-2
4.325205834E0,-6.472690105E-1,-1.506502032E-1,-4.001049697E-2
4.344015261E0,-6.087856293E-1,-1.405712217E-1,-5.039490014E-2
4.362824688E0,-5.718293786E-1,-1.723352820E-1,-8.246437646E-3
