accX_mean,accX_std,accX_min,accX_max,accX_energy,accY_mean,accY_std,accY_min,accY_max,accY_energy,accZ_mean,accZ_std,accZ_min,accZ_max,accZ_energy,gyrX_mean,gyrX_std,gyrX_min,gyrX_max,gyrX_energy,gyrY_mean,gyrY_std,gyrY_min,gyrY_max,gyrY_energy,gyrZ_mean,gyrZ_std,gyrZ_min,gyrZ_max,gyrZ_energy,activity
-3.6854732916206014,1.9971347399821,-8.252845764,0.4402793646,17.571260552892152,-3.61693087339,0.8582931587293166,-5.184050083,-1.010967612,13.818856089203294,8.238643932400002,0.7134780425753662,6.545566559,9.962516785,68.38430476210853,-0.01926688491753,0.2337408916941867,-0.4673745036,0.6169557571,0.05500601730441884,-0.21441808128249001,0.4830960812359366,-1.694337606,0.5988593698,0.2793569372863831,-0.042828793328940004,0.5784586328393603,-1.494819641,1.724727273,0.33644869544439504,sitting
-1.7859788873861007,1.8673298265323106,-6.859025955,1.31126678,6.676641267246083,-3.77553913596,0.6837411660997654,-5.955735683,-2.402393818,14.72219774938505,8.87056447993,0.5808333340930679,6.831508636,10.28554821,79.02428155458945,0.013420314720179995,0.24320083841620632,-0.4673745036,0.4636330605,0.05932675265353438,-0.11598768060930001,0.5970273065026593,-1.694337606,1.200925708,0.36989474676294537,-0.37571153306586,0.7339436690842023,-2.632827997,0.654217422,0.6798324654674801,sitting
-0.9310233638083997,0.8535529577489255,-3.101098061,1.31126678,1.5953571556390473,-2.954238669122,1.2422137509211413,-5.955735683,0.4474578202,10.270621117113299,9.29853272439,1.016488389905122,6.726224422,14.22891998,87.49595947336365,0.17301179422396998,0.2949560916030449,-0.7309551239,0.8799254894,0.11693217691434117,0.210539962023,0.3682778612765789,-0.5192965269,1.200925708,0.17995565871509733,-0.32276405542644,0.7259525314114894,-2.632827997,0.654217422,0.6311837133380717,sitting
-1.6600326712321,1.1166992294724105,-4.991427898,1.032503009,4.002725638662256,-2.7889664046119997,1.3449420050856373,-5.565705299,0.4474578202,9.587202603098161,9.11234717364,1.3921691598292163,5.956932068,14.22891998,84.97300598252448,-0.09245631550660001,0.4825088302593187,-0.9859838486,0.8799254894,0.24136294155527194,0.07156992024999999,0.6343489186600363,-2.40475297,1.997165084,0.40752080408974867,0.005821374063430002,0.2312652987546156,-0.4547757804,0.7073611021,0.053517526804048005,sitting
-3.0692975261570994,1.2662596295876283,-5.531009674,1.032503009,11.024000753597491,-2.6521208732940007,1.6817724126842295,-6.028716564,-0.2775674164,9.862103574627461,8.87483563419,1.0567472393517094,5.956932068,11.51904774,79.87942226176608,0.027991312703199992,0.537013278475111,-0.9859838486,0.9141329527,0.2891667748454355,0.09539677938550004,0.6360091867910092,-2.40475297,1.997165084,0.4136082311996864,0.10596061934598001,0.22181320483788722,-0.3808632791,0.7641699314,0.06042875069263819,sitting
-4.3300279140299995,0.6978371587795341,-5.531009674,-2.199003935,19.236118436452486,-1.3492528673634,1.4207759458675893,-6.028716564,-0.01316052489,3.8390875884443,8.7936232042,0.5875947406156409,6.918846607,10.56072235,77.67307663664384,0.19102720934995,0.3243367203648212,-0.2719033957,0.9141329527,0.14168570288903787,0.14335210687396102,0.24126988778844852,-0.3852155507,1.209477544,0.07876098529865408,0.09265025806423997,0.15568136790723,-0.1279724985,0.7641699314,0.032820758632836566,sitting
-4.820149776899999,0.4404211218339826,-6.625725746,-3.566502094,23.427814636306625,-0.8673264222854,0.3897320412222256,-2.092523336,-0.01316052489,0.9041461867496345,8.60792820453,0.4008983068839377,6.385247231,9.6693964,74.25714742680547,-0.024423964111473705,0.08630878679067323,-0.2719033957,0.206771791,0.008045736700196444,0.015842324367644003,0.13511389236302312,-0.3482593,0.3154262602,0.01850674315085625,-0.000678040571237,0.08502614869640827,-0.3063398898,0.2049392611,0.007229905701159973,sitting
-4.75011185642,0.34008749901781143,-6.625725746,-3.797409534,22.67922215549005,-1.097432213106,0.3053661634265918,-2.092523336,-0.1172483116,1.2976059561286086,8.635361938520001,0.2616829081922601,6.385247231,9.300901413,74.63795375367985,-0.017445797756215697,0.057929671035220454,-0.170197323,0.1572168171,0.003660202645599641,-0.04031897289170301,0.07526953323989315,-0.3482593,0.1245364845,0.007291122209193258,-0.025282968123158004,0.053848179376792295,-0.3063398898,0.03909422457,0.0035388548993118218,sitting
-4.62348367211,0.11274185049309075,-4.883750916,-4.25802803,21.389311991120373,-1.19985698641,0.0930699262555934,-1.476371527,-0.994217813,1.4483187990101083,8.67781060222,0.05261410681073805,8.548358917,8.836693764,75.30716509223733,-0.0031641888137150004,0.03987309618809427,-0.1604237556,0.1089598835,0.0015998758904738571,-0.0008185353469149998,0.02170254667836917,-0.0403922759,0.0399341397,0.00047167053244094196,-0.001640124891241,0.026652010635189696,-0.06139015034,0.04520269856,0.0007130196805571331,sitting
-4.54764317032,0.14221371502607832,-4.864608288,-4.230510235,20.70128314529966,-1.23134652672,0.0877645766652994,-1.397408366,-0.994217813,1.5239168897826472,8.711226387,0.056098229663613254,8.548358917,8.817551613,75.88861217693646,-0.0025686127839543993,0.016988019214201802,-0.03245126083,0.04634803534,0.0002951905684559836,-0.007641699276776001,0.03424399200106936,-0.1033095419,0.0399341397,0.001231046556005981,-0.00048256932389600005,0.026054665008245853,-0.05833591148,0.04520269856,0.0006790784418442764,sitting
