"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.665755000E0,8.553388715E-1,-1.922565341E0,2.534328938E0
1.684564063E0,1.132434487E0,-1.855677605E0,2.357183218E0
1.703373073E0,1.184967279E0,-1.452518463E0,2.356266975E0
1.722182084E0,1.231086254E0,-1.084788322E0,2.450642824E0
1.740991094E0,1.467178702E0,-1.234445930E0,2.537688494E0
1.759800156E0,1.941807032E0,-1.459237695E0,2.557541132E0
1.778609167E0,2.324502945E0,-1.550253987E0,2.526998758E0
1.797418177E0,2.615876913E0,-1.531317711E0,2.487293720E0
1.816227240E0,2.769505024E0,-1.613476634E0,2.293960571E0
1.835036250E0,2.744154930E0,-1.383492708E0,2.015414238E0
1.853845261E0,2.553265095E0,-9.898016453E-1,1.910959244E0
1.872654323E0,2.439342260E0,-1.037753105E0,1.883776546E0
1.891463334E0,2.471717119E0,-1.530401468E0,1.881333232E0
1.910272344E0,2.324502945E0,-2.140637875E0,1.649211287E0
1.929081406E0,1.621417642E0,-2.203249693E0,1.317521214E0
1.947890417E0,2.392994165E-1,-5.979431272E-1,1.162671447E0
1.966699427E0,-6.830799580E-1,2.151709497E-1,9.824714661E-1
1.985508438E0,-1.053558826E0,-3.874298632E-1,1.231086254E0
2.004317500E0,-9.610154629E-1,-1.106778860E0,1.223756075E0
2.023126511E0,-7.041541934E-1,-1.680975318E0,8.554152250E-1
2.041935573E0,-4.194993675E-1,-1.926841378E0,7.488223910E-1
2.060744584E0,-3.975088596E-1,-2.272886276E0,9.546779394E-1
2.079553594E0,-3.669664860E-1,-2.453696966E0,1.343482137E0
2.098362604E0,-4.271349311E-1,-2.134834766E0,1.784819365E0
2.117171667E0,-5.670189857E-1,-1.619585156E0,2.135140181E0
2.135980677E0,-4.970769584E-1,-1.295225263E0,2.342828274E0
2.154789740E0,-5.115845799E-2,-9.085589647E-1,2.694752693E0
2.173598750E0,7.719582319E-1,-1.008127093E0,3.476331711E0
2.192407761E0,1.337984562E0,-1.396015048E0,3.554825544E0
2.211216771E0,1.495277762E0,-2.110095501E0,3.280555248E0
2.230025834E0,1.438774347E0,-2.631759167E0,2.990708113E0
2.248834844E0,9.907178879E-1,-3.196563721E0,2.812951565E0
2.267643906E0,-2.702999115E-2,-3.879490852E0,3.197174549E0
2.286452917E0,-5.862606764E-1,-4.721238613E0,3.603388071E0
2.305261927E0,-8.968765140E-1,-5.523281097E0,3.706315756E0
2.324070990E0,-9.836167693E-1,-6.231634617E0,3.564293861E0
2.342880000E0,-8.348754644E-1,-6.351360798E0,3.274141312E0
2.361689011E0,-3.440597057E-1,-5.727914810E0,2.750034332E0
2.380498073E0,5.248705149E-1,-4.040754795E0,1.905156255E0
2.399307084E0,1.628442407E0,-2.205693007E0,8.679376245E-1
2.418116094E0,1.721291184E0,-1.607673645E0,5.389963388E-1
2.436925156E0,9.812497497E-1,-1.501386166E0,7.540146112E-1
2.455734167E0,1.751604527E-1,-1.050886393E0,1.188021541E0
2.474543177E0,-1.229330078E-1,-1.244601309E-1,1.534982800E0
2.493352240E0,1.695101149E-2,7.252284288E-1,1.832465410E0
2.512161250E0,2.521272004E-1,1.259414315E0,2.111927986E0
2.530970261E0,4.579827189E-1,1.531852245E0,2.231043339E0
2.549779323E0,5.853443742E-1,1.529714227E0,2.134529352E0
2.568588334E0,6.461237073E-1,1.234980464E0,1.849263668E0
2.587397344E0,6.684195995E-1,7.624900937E-1,1.617141724E0
2.606206406E0,5.749599934E-1,5.190674663E-1,1.683418632E0
2.625015417E0,4.170559645E-1,5.676298141E-1,1.919816613E0
2.643824427E0,3.959817290E-1,5.483881235E-1,2.182175398E0
2.662633490E0,4.436278343E-1,6.754443645E-1,2.350158453E0
2.681442500E0,4.827220440E-1,1.130831003E0,2.301596165E0
2.700251511E0,4.555393457E-1,1.693421364E0,2.188894749E0
2.719060573E0,3.394783735E-1,1.980824947E0,1.974182010E0
2.737869584E0,2.331909388E-1,1.729461312E0,1.483366251E0
2.756678594E0,1.696628332E-1,9.521581531E-1,6.235986948E-1
2.775487656E0,1.278197914E-1,3.272614181E-1,-1.986780763E-1
2.794296667E0,4.230117425E-2,5.726693198E-2,-5.786250830E-1
2.813105677E0,5.848862603E-2,-6.978929788E-2,-5.883986354E-1
2.831914740E0,7.620319724E-2,-1.342336833E-1,-3.736858070E-1
2.850723750E0,3.466558084E-2,-2.509055138E-1,-9.483403713E-2
2.869532761E0,1.269035190E-1,-6.657471657E-1,3.260397166E-2
2.888341823E0,2.026485801E-1,-8.966473937E-1,-1.084253844E-2
2.907150834E0,1.311794519E-1,-7.967739105E-1,-3.191677108E-2
2.925959844E0,-6.978929788E-2,-4.479037523E-1,8.399150101E-4
2.944768906E0,-2.020377368E-1,-1.714953631E-1,2.061609412E-3
2.963577917E0,-1.708845198E-1,-1.339282542E-1,-5.115845799E-2
2.982386927E0,-1.427855492E-1,-2.396048307E-1,-6.337540597E-2
3.001195990E0,-1.867665499E-1,-5.139515996E-1,-1.180462316E-1
