"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.762300156E0,8.376075745E0,3.110669367E-2,1.086221886E1
1.781109167E0,8.157132149E0,-4.091726840E-1,9.689735413E0
1.799918177E0,8.700303078E0,-9.116654396E-1,8.251648903E0
1.818727240E0,9.355937004E0,-8.769695163E-1,6.821937561E0
1.837536250E0,9.162117958E0,-9.774680734E-1,5.519045353E0
1.856345261E0,8.104490280E0,-1.020538807E0,5.032105923E0
1.875154323E0,7.483552933E0,-5.551348329E-1,5.272584915E0
1.893963334E0,8.328219414E0,-3.230310604E-2,4.796412945E0
1.912772344E0,9.737591743E0,1.986042857E-1,1.529013634E0
1.931581406E0,9.209974289E0,4.163511395E-1,-5.286941528E0
1.950390417E0,9.821340561E0,3.326023519E-1,-3.178864956E0
1.969199427E0,7.325626373E0,1.806581169E-1,1.765903115E0
1.988008438E0,8.273183823E0,-1.950150430E-1,3.848855257E0
2.006817500E0,1.110628605E1,-1.252642632E0,4.552345276E0
2.025626511E0,1.055354404E1,-6.568298340E-1,5.012963295E0
2.044435573E0,8.676374435E0,-1.625923038E0,3.990031719E0
2.063244584E0,7.314858913E0,-2.029113531E0,4.265206337E0
2.082053594E0,6.539584160E0,-2.489732027E0,3.424129248E0
2.100862604E0,6.264409542E0,-3.043670416E0,2.025524378E0
2.119671667E0,5.954539299E0,-4.115654945E0,2.926422119E0
2.138480677E0,5.828916073E0,-3.464807272E0,3.712464333E0
2.157289740E0,3.150151014E0,-3.468396425E0,6.120840549E0
2.176098750E0,4.465006828E0,-5.736792088E0,5.424529076E0
2.194907761E0,5.178068161E0,-7.016952515E0,4.186243057E0
2.213716771E0,6.307480335E0,-7.267002583E0,2.285145521E0
2.232525834E0,6.457031727E0,-6.561119556E0,1.037288666E0
2.251334844E0,6.442675114E0,-6.570691109E0,-2.221735716E0
2.270143906E0,6.894918442E0,-7.258627415E0,-1.611566067E0
2.288952917E0,6.618547440E0,-7.804191113E0,-2.148754835E0
2.307761927E0,5.820540905E0,-7.174878597E0,-2.380858421E0
2.326570990E0,5.526223660E0,-7.378268719E0,-2.700300455E0
2.345380000E0,4.630111694E0,-9.382257462E0,-2.730210543E0
2.364189011E0,3.742374659E0,-1.007856941E1,-3.129812002E0
2.382998073E0,4.640879631E0,-1.009771156E1,-3.302095175E0
2.401807084E0,3.808177233E0,-9.639486313E0,-4.346562386E0
2.420616094E0,2.982653379E0,-9.512666702E0,-5.562116146E0
2.439425156E0,2.170290232E0,-9.621540070E0,-5.613562107E0
2.458234167E0,2.123630047E0,-9.962516785E0,-4.137190342E0
2.477043177E0,2.047059774E0,-1.063370419E1,-2.483749866E0
2.495852240E0,1.513460279E0,-1.129890823E1,-1.983649969E0
2.514661250E0,1.009771109E0,-1.105723381E1,-1.932204247E0
2.533470261E0,6.999006271E-1,-1.015753174E1,-2.085345030E0
2.552279323E0,8.961120844E-1,-9.152546883E0,-2.271985054E0
2.571088334E0,8.973084688E-1,-8.727820396E0,-2.149951220E0
2.589897344E0,3.613162339E-1,-8.988637924E0,-2.233700037E0
2.608706406E0,-7.298108935E-2,-9.004191399E0,-2.349751949E0
2.627515417E0,-1.483550072E-1,-8.681160927E0,-1.826920033E0
2.646324427E0,-9.451649338E-2,-8.488538742E0,-1.575673699E0
2.665133490E0,-8.853443712E-2,-8.652446747E0,-1.506281853E0
2.683942500E0,-4.007977843E-1,-9.181260109E0,-1.545763373E0
2.702751511E0,-1.060020447E0,-9.806983948E0,-1.758724689E0
2.721560573E0,-1.374676585E0,-1.000678444E1,-2.336591244E0
2.740369584E0,-1.274178028E0,-1.072223854E1,-2.177468538E0
2.759178594E0,-9.200403094E-1,-1.150349522E1,-1.564906001E0
2.777987656E0,-1.185643673E0,-1.213878918E1,-1.372283816E0
2.796796667E0,-1.557727575E0,-1.167458153E1,-1.123430252E0
2.815605677E0,-1.701296926E0,-1.114816093E1,-1.185643673E0
2.834414740E0,-2.072184324E0,-1.110269737E1,-1.673779488E0
2.853223750E0,-2.129612207E0,-1.058943653E1,-1.423729420E0
2.872032761E0,-1.439282775E0,-9.382257462E0,-1.251446247E0
2.890841823E0,-1.466800332E0,-8.845068932E0,-1.604387641E0
2.909650834E0,-1.798206210E0,-9.065208435E0,-2.092523336E0
2.928459844E0,-2.002792597E0,-9.341579437E0,-2.233700037E0
2.947268906E0,-1.974078655E0,-9.253045082E0,-1.850848317E0
2.966077917E0,-1.916650891E0,-9.223134995E0,-1.910668850E0
2.984886927E0,-1.753939033E0,-9.402596474E0,-2.109273195E0
3.003695990E0,-1.454836130E0,-9.300901413E0,-2.221735716E0
3.022505000E0,-1.138983607E0,-9.062815666E0,-2.228914261E0
3.041314011E0,-9.714859724E-1,-9.136993408E0,-2.273181438E0
3.060123073E0,-1.000199914E0,-9.477970123E0,-2.395215511E0
3.078932084E0,-1.116251707E0,-9.810572624E0,-2.338984251E0
3.097741094E0,-1.173679471E0,-1.016471100E1,-2.115255117E0
3.116550104E0,-9.487541914E-1,-1.014437199E1,-1.867598057E0
3.135359167E0,-1.289731383E0,-1.020897770E1,-1.898704767E0
3.154168177E0,-1.624726534E0,-1.001156998E1,-1.948953986E0
3.172977188E0,-2.085345030E0,-9.885947227E0,-2.276770830E0
3.191786250E0,-2.360519648E0,-9.775876999E0,-2.840280533E0
3.210595261E0,-2.032702923E0,-9.388239861E0,-3.244667530E0
3.229404271E0,-1.244267821E0,-8.907281876E0,-3.081955671E0
3.248213334E0,-6.999006271E-1,-8.708678246E0,-2.776870728E0
3.267022344E0,-3.625126183E-1,-8.810373306E0,-2.587837696E0
3.285831354E0,-4.259224236E-1,-8.934800148E0,-2.383251429E0
3.304640365E0,-5.934200287E-1,-8.918049812E0,-2.067398787E0
