"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.712779085E0,-5.393781066E-1,-1.261857748E0,-6.846070886E-1
1.731588773E0,-6.239804626E-1,-1.602099657E0,-6.534538269E-1
1.750398408E0,-7.131641507E-1,-1.567586780E0,-4.231644273E-1
1.769208096E0,-7.785248160E-1,-1.326607585E0,-2.890834510E-1
1.788017731E0,-7.647807598E-1,-9.103151560E-1,-3.802524135E-2
1.806827419E0,-6.728482842E-1,-8.275453448E-1,5.417451859E-1
1.825637054E0,-6.294780970E-1,-7.829535007E-1,1.100059509E0
1.844443333E0,-5.567872524E-1,-3.312319219E-1,1.008432508E0
1.863252969E0,-5.955760479E-1,-5.352548957E-1,4.063661397E-1
1.882062656E0,-4.837910235E-1,-8.516737819E-1,1.363716573E-1
1.900872292E0,-2.162399292E-1,-1.019962192E0,1.345391124E-1
1.919681979E0,-4.818057641E-2,-1.201994658E0,1.302631795E-1
1.938491615E0,-2.069245093E-2,-1.311641812E0,-5.482354015E-2
1.957301302E0,5.016583204E-2,-1.397465825E0,-3.669664860E-1
1.976110938E0,5.291464552E-2,-1.330578089E0,-4.851654470E-1
1.994920625E0,1.115559787E-1,-1.309809208E0,-4.805840850E-1
2.013730261E0,1.222458109E-1,-1.054780483E0,-3.791834414E-1
2.032539948E0,2.053210288E-1,-1.116170645E0,-3.132119179E-1
2.051349583E0,3.555894494E-1,-1.209324837E0,7.406523079E-2
2.070159271E0,6.545991898E-1,-1.349514365E0,4.344651103E-1
2.088968906E0,8.589276075E-1,-1.438698053E0,4.595098495E-1
2.107778594E0,1.016831636E0,-2.121625185E0,2.725905776E-1
2.126588229E0,1.067226529E0,-2.545553207E0,2.576248348E-1
2.145397865E0,1.155799389E0,-2.618015051E0,4.075878263E-1
2.164207552E0,1.063866854E0,-1.819255829E0,7.240830660E-1
2.183017240E0,8.754204512E-1,-1.277739763E0,1.084482908E0
2.201826875E0,1.222992539E0,-7.206470370E-1,1.702049494E0
2.220636511E0,1.660664678E0,-1.423732281E0,2.010832787E0
2.239446198E0,1.374177217E0,-1.997317791E0,1.418616414E0
2.258255886E0,6.454364657E-1,-9.881981611E-1,7.567633986E-1
2.277065521E0,-1.315612346E-1,-5.726693198E-2,2.163926363E-1
2.295875156E0,-3.628432751E-1,2.070008665E-1,1.522536725E-1
2.314684844E0,-1.550788432E-1,-2.930539846E-1,2.063136548E-1
2.333494479E0,2.184542567E-1,-8.657232523E-1,2.704526186E-1
2.352304167E0,2.114295065E-1,-5.267030597E-1,2.417428046E-1
2.371113802E0,-1.443890184E-1,-4.443913698E-2,1.223221645E-1
2.389923490E0,-3.011476994E-1,3.007659316E-1,4.963133857E-2
2.408733125E0,-5.558710098E-1,5.820610523E-1,-5.604523420E-2
2.427542813E0,-7.372926474E-1,3.380275965E-1,-9.086353332E-2
2.446352448E0,-7.324058414E-1,4.352286831E-2,-1.861557066E-1
2.465162136E0,-7.382088900E-1,4.211028218E-1,-3.077143133E-1
2.483971771E0,-7.879929543E-1,8.679376245E-1,-2.347180545E-1
2.502781458E0,-5.262449384E-1,5.151733160E-1,9.926267900E-3
2.521591094E0,-2.061609477E-1,-9.177979827E-2,1.843231618E-1
2.540400729E0,-1.025459841E-1,-4.057552814E-1,2.270824611E-1
2.559210417E0,3.550549597E-2,-5.451811850E-2,5.026509166E-1
2.578020052E0,1.240783483E-1,-4.527905285E-1,7.078956366E-1
2.596829740E0,3.962107897E-1,-3.773508966E-1,1.180385947E0
2.615639375E0,5.266267061E-1,-9.177979827E-2,1.656541467E0
2.634449063E0,5.852680206E-1,3.111503124E-1,2.032823324E0
2.653258698E0,4.102602899E-1,5.228089094E-1,2.132696867E0
