"event","experiment time","system time","system time text"
"START",0.000000000E0,1756490988.260,"2025-08-29 21:09:48.260 UTC+03:00"
"PAUSE",8.369405476E2,1756491825.200,"2025-08-29 21:23:45.200 UTC+03:00"
