"event","experiment time","system time","system time text"
"START",0.000000000E0,1756487700.789,"2025-08-29 20:15:00.789 UTC+03:00"
"PAUSE",8.358143187E2,1756488536.603,"2025-08-29 20:28:56.603 UTC+03:00"
